The.Date.of.this.Price,Expiration.Date.of.the.Option,K,Call,Delta.of.the.Option,diff,bgn_S,end_S,Signal,P_L,Cost
2017/5/22,2017/6/21,239.5,2.18,0.517444,30,239.52,242.95,Long,-86.73267626,25922.43054
2017/5/23,2017/6/21,240,2.05,0.519665,29,240.05,242.95,Long,-75.5323528,26698.118
2017/5/24,2017/6/23,240.5,2.035,0.523083,30,240.61,243.13,Long,-64.23029531,29677.02084
2017/5/25,2017/6/23,242,1.71,0.492559,29,241.76,243.13,Long,-28.06210789,36272.55384
2017/5/26,2017/6/23,241.5,1.905,0.532628,28,241.71,243.13,Long,-34.1956881,34181.89476
2017/5/30,2017/6/28,240,2.865,0.623871,29,241.5,243.49,Long,-43.73753715,30422.61608
2017/6/15,2017/7/14,244,1.525,0.503886,29,243.77,245.56,Short,-69.45548215,53135.68894
2017/6/28,2017/7/28,243.5,2.35,0.52164,30,243.49,246.91,Long,-63.38263463,31701.83506
2017/6/29,2017/7/28,241,2.975,0.54052,29,241.35,246.91,Long,-90.17323549,28593.80548
2017/7/7,2017/8/4,242,2.49,0.528377,28,242.11,247.41,Long,-81.96545968,25044.89121
2017/7/10,2017/8/9,242,2.78,0.545344,30,242.37,247.25,Long,-91.19887605,25099.94628
2017/7/12,2017/8/11,244,2.305,0.523361,30,244.01,244.12,Long,-87.49214288,25248.88294
2017/7/27,2017/8/25,247.5,1.905,0.499431,29,247.2,244.56,Short,-494.7924147,47370.3403
2017/7/28,2017/8/25,247.5,1.765,0.474926,28,246.91,244.56,Short,-465.2616811,44689.64388
2017/7/31,2017/8/30,245,3.585,0.634144,30,246.77,246.01,Short,-565.3026976,58950.25482
2017/8/1,2017/8/30,245,3.8,0.676367,29,247.32,246.01,Short,-632.2999886,62575.90532
2017/8/2,2017/9/1,247.5,2.16,0.519308,30,247.44,247.84,Short,-414.4740644,54936.77713
2017/8/3,2017/9/1,247,2.205,0.519914,29,246.96,247.84,Short,-345.4888663,57696.53584
2017/8/4,2017/9/1,247.5,2.025,0.5161,28,247.41,247.84,Short,-393.4120847,51092.87353
